week,day,withinWeek,topic(s),reading,assignment/lab,due
1,4,1,What is AI(slides/Intro_Lecture01.pdf);Intel Agents,"Chp 1, Chp 2",HW 0;PA0,
2,2,1,"Uninformed Search (BFS, DFS, IDS)",Chp 3(3.1 - 3.4.6); [Chp 3.1 - 3.4.7],"HW1, PA1",
2,4,2,"Informed Search(A*, Graph Search)",Chp 3 (3.5 - 3.7), ,Prog 0; Quiz 1
3,2,1,"Hill Climbers, Simulated Annealing",Chp 4(4 - 4.1.3),HW 2,Prog 1; HW 1
3,4,2,CSPs 1,,HW 3,Quiz 2
4,2,1,Assessment Day - No Class,,,
4,4,2,CSPs 2,, ,HW 3; Quiz 3
5,2,1,Adversarial Search -- Alpha/Beta Pruning,,HW4; PA2,
5,4,2,"Heuristic Alpha/Beta Search, Monte Carlo Search, Chance Trees",,,
6,2,1,MDPs,,,
6,4,2,MDPs II,,,PA2
7,2,1,RL ,,,
7,4,2,RL 2,,,
8,2,1,Prop Logic (Theorem Proving),,,
8,4,2,Agents using Prop Logic,,,
9,2,1,"FOL, Unification",,,
9,4,2,FOL Resolution and Chaining,,,
10,2,1,MDP,,,
10,4,2,MDP II,,,
11,2,1,RL I,,,
11,4,2,RL II,,,
12,2,1,Prob,,,
12,4,2,NO CLASS  (Break 3),,,
13,2,1,MM,,,
13,4,2,HMM,,,
14,2,1,Bayes,,,
14,4,2,Bayes,,,
15,2,1,Bayes,,,
15,4,2,Bayes,,,
16,2,1,slack,,,
